generation,population,episodes_seen,best_fitness,generation_best_fitness,generation_mean_fitness,sigma,probe_yellow_win_rate,probe_blue_win_rate,probe_draw_rate,probe_mean_elapsed_s,probe_mean_robot_contacts,probe_mean_obstacle_contacts,probe_mean_yellow_alive,probe_mean_blue_alive
72,16,4672,511.62955685932,149.29735488625127,118.90412197044705,0.18247674095762892,0.0,1.0,0.0,28.266666666666666,229.16666666666666,0.0,41.666666666666664,44.5
73,16,4736,511.62955685932,244.20325511898182,78.46185536059161,0.1797395898432645,0.0,1.0,0.0,28.933333333333334,258.1666666666667,0.0,41.5,44.5
74,16,4800,511.62955685932,185.892193808673,52.58909203379671,0.17704349599561553,0.0,1.0,0.0,29.0,241.66666666666666,0.0,41.0,43.333333333333336
75,16,4864,511.62955685932,183.13675466609897,16.869474611062145,0.1743878435556813,0.0,1.0,0.0,28.8,255.0,0.0,41.166666666666664,43.666666666666664
76,16,4928,511.62955685932,154.8644669136912,70.40573487124345,0.17177202590234608,0.0,1.0,0.0,28.26666666666667,243.66666666666666,0.0,41.333333333333336,44.833333333333336
77,16,4992,511.62955685932,170.04947369959095,116.62317380892685,0.16919544551381088,0.0,1.0,0.0,28.133333333333336,240.83333333333334,0.0,41.666666666666664,44.666666666666664
78,16,5056,511.62955685932,141.23153902662997,88.57628441523863,0.16665751383110372,0.0,1.0,0.0,28.16666666666667,260.8333333333333,0.0,41.833333333333336,43.666666666666664
79,16,5120,511.62955685932,202.5920324172057,122.02702163216307,0.16415765112363717,0.0,1.0,0.0,29.200000000000003,235.66666666666666,0.0,41.333333333333336,44.166666666666664
80,16,5184,511.62955685932,151.23633387604764,80.19825641030906,0.16169528635678262,0.0,1.0,0.0,28.866666666666664,272.0,0.0,41.5,43.5
81,16,5248,511.62955685932,160.78505310964698,25.035371029416883,0.15926985706143088,0.0,1.0,0.0,28.3,239.33333333333334,0.0,41.833333333333336,45.333333333333336
